Time	Watts			
				
0	7.4		15.57266667	1.8987619
1	0		17.47142857	
2	10.9			
3	10.9			
4	11.4			
5	19			
6	10.9			
7	10.8			
8	10.8			
9	11.1			
10	11.5			
11	12.1			
12	11.9			
13	11.8			
14	11.6			
15	12			
16	12.4			
17	12.6			
18	12.4			
19	12.2			
20	12			
21	12.4			
22	18.1			
23	11.8			
24	11.6			
25	11.5			
26	11.6			
27	11.9			
28	19.4			
29	10.9			
30	10.8			
31	10.7			
32	11.2			
33	11.4			
34	17.9			
35	10.7			
36	10.6			
37	10.6			
38	11.3			
39	11.6			
40	12.2			
41	11.9			
42	11.8			
43	11.8			
44	12.1			
45	12.6			
46	12.6			
47	12.3			
48	12.1			
49	12.4			
50	12.2			
51	17.9			
52	10.3			
53	10.3			
54	10.4			
55	11			
56	10.9			
57	19			
58	10.9			
59	10.8			
60	10.9			
61	11.4			
62	11.5			
63	17.1			
64	10.5			
65	10.5			
66	10.8			
67	10.9			
68	11.4			
69	11.8			
70	11.6			
71	11.4			
72	12			
73	11.8			
74	17.5			
75	12.2			
76	11.9			
77	11.8			
78	12.1			
79	11.9			
80	18.7			
81	9.9			
82	9.9			
83	10.4			
84	10.6			
85	10.8			
86	18.1			
87	10.5			
88	10.5			
89	11.1			
90	11			
91	11.4			
92	11.9			
93	11.7			
94	11.6			
95	11.9			
96	11.7			
97	12.3			
98	12.4			
99	12.2			
100	12.3			
101	12.3			
102	12.1			
103	17.9			
104	11.8			
105	11.6			
106	12.1			
107	11.9			
108	11.7			
109	18.7			
110	10.3			
111	10.4			
112	10.9			
113	10.8			
114	10.9			
115	17.3			
116	9.9			
117	10.3			
118	10.6			
119	10.6			
120	11			
121	11.6			
122	11.5			
123	12			
124	11.9			
125	11.7			
126	12.2			
127	12.4			
128	12.2			
129	12.5			
130	12.2			
131	11.9			
132	19			
133	10.7			
134	11			
135	11.1			
136	11			
137	11			
138	19			
139	10.7			
140	11.1			
141	11			
142	11			
143	11.2			
144	17.3			
145	10.7			
146	11.2			
147	11.2			
148	11.1			
149	11.6			
150	12			
151	12.1			
152	12.2			
153	12			
154	11.8			
155	17.1			
156	17.4			
157	22.7			
158	22.4			
159	21.9			
160	21.4			
161	21.6			
162	21.2			
163	21.1			
164	20.9			
165	20.9			
166	20.5			
167	20.7			
168	20.5			
169	20.4			
170	20.1			
171	19.9			
172	19.8			
173	20			
174	20.1			
175	19.9			
176	19.7			
177	19.5			
178	19.6			
179	19.7			
180	19.7			
181	19.5			
182	19.3			
183	19.2			
184	19.4			
185	19.4			
186	19.6			
187	19.4			
188	19.2			
189	19.1			
190	19.5			
191	19.6			
192	19.6			
193	19.4			
194	19.2			
195	19			
196	19.3			
197	19.5			
198	19.4			
199	19.2			
200	19			
201	18.9			
202	19.3			
203	19.4			
204	19.3			
205	19.1			
206	18.9			
207	19.1			
208	19.3			
209	19.4			
210	19.1			
211	19			
212	18.8			
213	19.2			
214	19.4			
215	19.3			
216	19			
217	18.9			
218	18.8			
219	19.4			
220	19.5			
221	19.3			
222	19.2			
223	19			
224	19			
225	19.4			
226	19.5			
227	19.3			
228	19.1			
229	18.9			
230	18.9			
231	19.3			
232	19.2			
233	19			
234	18.9			
235	18.8			
236	19			
237	19.5			
238	19.3			
239	19.2			
240	19			
241	19			
242	19.3			
243	19.5			
244	19.3			
245	19.1			
246	18.9			
247	18.8			
248	19.3			
249	19.4			
250	19.2			
251	19			
252	18.9			
253	18.8			
254	19.4			
255	19.4			
256	19.2			
257	19			
258	18.9			
259	19			
260	19.4			
261	19.2			
262	19			
263	18.8			
264	18.8			
265	18.9			
266	19.4			
267	19.1			
268	19			
269	18.8			
270	18.7			
271	19			
272	19.3			
273	19.1			
274	18.9			
275	18.9			
276	18.8			
277	19.1			
278	19.3			
279	19.2			
280	19.1			
281	19			
282	18.8			
283	19.2			
284	19.2			
285	19.1			
286	19			
287	18.9			
288	18.8			
289	19.3			
290	19.3			
291	19.2			
292	19			
293	18.8			
294	18.8			
295	19.4			
296	19.3			
297	19.1			
298	18.9			
299	18.8			
300	18.8			
301	19.4			
302	19.5			
303	20.1			
304	20.4			
305	20.2			
306	3.9			
