Time	Watts			
				
0	6.6		13.233	5.424142857
1	6.2		18.65714286	
2	12.8			
3	19.2			
4	19			
5	18.6			
6	10.9			
7	10.9			
8	10.9			
9	10.9			
10	18.1			
11	17.8			
12	11.5			
13	11.4			
14	11.3			
15	11.2			
16	18.3			
17	17.9			
18	11.1			
19	11			
20	11			
21	11			
22	18.1			
23	17.7			
24	11.3			
25	11.2			
26	11.2			
27	11.2			
28	19			
29	18.4			
30	10.7			
31	10.7			
32	10.8			
33	10.8			
34	18.7			
35	18.2			
36	11.1			
37	11.1			
38	11			
39	11			
40	19			
41	18.5			
42	10.9			
43	10.9			
44	11			
45	10.9			
46	19.4			
47	18.8			
48	10.7			
49	10.7			
50	10.7			
51	10.7			
52	19			
53	18.4			
54	10.9			
55	10.8			
56	10.9			
57	10.9			
58	19.2			
59	18.5			
60	10.7			
61	10.7			
62	10.8			
63	10.8			
64	19.8			
65	13.8			
66	13.4			
67	13.1			
68	12.8			
69	12.5			
70	20.4			
71	13.6			
72	13.2			
73	13			
74	12.8			
75	12.5			
76	20.2			
77	13.2			
78	12.9			
79	12.6			
80	12.4			
81	12.3			
82	20.4			
83	13.8			
84	13.4			
85	13			
86	12.8			
87	12.6			
88	21			
89	12.6			
90	12.3			
91	12.2			
92	12.1			
93	11.9			
94	21.2			
95	12.6			
96	12.4			
97	12.2			
98	12			
99	11.8			
100	21.8			
101	12.6			
102	12.3			
103	12.1			
104	12			
105	11.8			
106	22			
107	12.2			
108	11.9			
109	11.8			
110	11.7			
111	11.6			
112	21.8			
113	12.2			
114	12			
115	11.9			
116	11.8			
117	11.7			
118	21.8			
119	11.8			
120	11.6			
121	11.6			
122	11.5			
123	11.5			
124	22			
125	11.5			
126	11.4			
127	11.3			
128	11.3			
129	11.2			
130	22			
131	11.5			
132	11.4			
133	11.3			
134	11.3			
135	11.2			
136	22			
137	11.5			
138	11.4			
139	11.3			
140	11.3			
141	11.3			
142	22			
143	11.3			
144	11.2			
145	11.1			
146	11.2			
147	11.2			
148	22			
149	11.3			
150	11.2			
151	11.1			
152	11.1			
153	11.1			
154	22.2			
155	11.5			
156	11.4			
157	11.3			
158	11.3			
159	11.2			
160	22.5			
161	22.4			
162	12.2			
163	12			
164	11.8			
165	11.7			
166	22.5			
167	10.9			
168	10.9			
169	10.8			
170	10.8			
171	10.9			
172	22.5			
173	10.9			
174	10.9			
175	10.9			
176	10.9			
177	10.9			
178	22.7			
179	10.5			
180	10.5			
181	10.5			
182	10.5			
183	10.6			
184	22			
185	10.1			
186	10.2			
187	10.3			
188	10.4			
189	10.5			
190	22.2			
191	11.1			
192	11.1			
193	11.1			
194	11.1			
195	11.2			
196	22.2			
197	10.7			
198	10.7			
199	10.6			
200	10.6			
201	10.8			
202	21.6			
203	10.7			
204	10.7			
205	10.7			
206	10.8			
207	10.9			
208	21.6			
209	10.5			
210	10.5			
211	10.5			
212	10.6			
213	10.8			
214	21.2			
215	10.9			
216	10.9			
217	11.3			
218	18.1			
219	18.3			
220	19			
221	11.3			
222	11.2			
223	11.2			
224	11.3			
225	11.3			
226	23.1			
227	11.1			
228	11			
229	11			
230	11			
231	11.1			
232	22.2			
233	11.1			
234	11			
235	11			
236	11.1			
237	11.2			
238	21.6			
239	12.2			
240	12.3			
241	12.2			
242	12.1			
243	12.2			
244	21.2			
245	11.1			
246	11.1			
247	11			
248	11			
249	11.2			
250	21			
251	10.9			
252	10.9			
253	10.9			
254	11			
255	11.1			
256	21.2			
257	10.9			
258	10.9			
259	10.9			
260	10.9			
261	11			
262	21.4			
263	10.5			
264	10.5			
265	10.5			
266	10.5			
267	10.8			
268	20.8			
269	11.1			
270	11.1			
271	11			
272	11.1			
273	11.3			
274	21			
275	11.3			
276	11.2			
277	11.2			
278	11.2			
279	11.4			
280	20.2			
281	10.7			
282	10.7			
283	10.7			
284	10.8			
285	11.2			
286	19.8			
287	11.3			
288	11.2			
289	11.2			
290	11.2			
291	11.5			
292	20.2			
293	10.9			
294	10.9			
295	10.9			
296	10.8			
297	11.2			
298	20			
299	11.1			
300	11.1			
301	11.1			
302	17.9			
303	18.2			
304	24.7			
305	24.1			
306	23.5			
