Time	Watts			
				
0	7		13.42766667	5.583444444
1	0		19.01111111	
2	11.8			
3	11.7			
4	12.3			
5	17.7			
6	11.1			
7	11			
8	11			
9	11			
10	16.5			
11	16.6			
12	10.9			
13	11			
14	10.9			
15	10.9			
16	16.5			
17	16.5			
18	10.9			
19	10.9			
20	10.9			
21	10.9			
22	16.7			
23	16.7			
24	10.9			
25	10.9			
26	10.9			
27	11			
28	16.9			
29	16.9			
30	11.1			
31	11			
32	11			
33	11			
34	16.5			
35	16.5			
36	10.9			
37	10.9			
38	10.9			
39	10.9			
40	16.9			
41	16.8			
42	10.9			
43	10.9			
44	10.9			
45	10.9			
46	16.7			
47	16.7			
48	11.1			
49	11			
50	11			
51	11			
52	17.1			
53	17.1			
54	10.9			
55	10.8			
56	10.8			
57	10.8			
58	17.1			
59	17			
60	10.9			
61	10.8			
62	10.8			
63	10.8			
64	17.5			
65	17.3			
66	10.9			
67	10.9			
68	10.9			
69	10.9			
70	17.5			
71	17.3			
72	10.9			
73	11			
74	10.9			
75	10.9			
76	18.3			
77	18			
78	10.9			
79	10.9			
80	10.9			
81	10.9			
82	17.7			
83	17.4			
84	11.1			
85	11.1			
86	11.1			
87	11.1			
88	17.9			
89	17.6			
90	11.5			
91	11.4			
92	11.3			
93	11.3			
94	17.9			
95	17.6			
96	10.5			
97	10.5			
98	10.6			
99	10.6			
100	17.7			
101	17.5			
102	10.7			
103	10.7			
104	10.7			
105	10.7			
106	17.5			
107	17.3			
108	11.3			
109	11.2			
110	11.1			
111	11			
112	17.3			
113	17.1			
114	10.7			
115	10.7			
116	10.6			
117	10.7			
118	18.1			
119	17.7			
120	10.7			
121	10.7			
122	10.7			
123	10.8			
124	18.3			
125	17.9			
126	11.1			
127	11			
128	11			
129	11			
130	18.1			
131	17.7			
132	11.1			
133	11.1			
134	11.1			
135	11.1			
136	17.9			
137	17.6			
138	11.1			
139	11			
140	11			
141	11			
142	18.3			
143	17.9			
144	10.7			
145	10.7			
146	10.7			
147	10.8			
148	18.5			
149	18			
150	11.1			
151	11.1			
152	11.1			
153	11.1			
154	18.1			
155	17.7			
156	11.1			
157	11			
158	11			
159	11			
160	18.5			
161	18			
162	10.7			
163	10.7			
164	10.7			
165	10.8			
166	18.3			
167	17.8			
168	11.1			
169	11			
170	11			
171	11			
172	18.3			
173	18.3			
174	17.7			
175	17.3			
176	16.8			
177	16.2			
178	16.6			
179	16.6			
180	16			
181	15.5			
182	15			
183	14.7			
184	15.2			
185	15.3			
186	14.9			
187	14.4			
188	14.1			
189	13.7			
190	14.2			
191	14.5			
192	14			
193	13.7			
194	13.3			
195	13			
196	18.1			
197	17.8			
198	11.1			
199	11.1			
200	11			
201	11			
202	18.3			
203	17.9			
204	10.9			
205	10.9			
206	10.9			
207	11			
208	18.5			
209	18			
210	10.7			
211	10.7			
212	10.7			
213	10.8			
214	18.7			
215	18.2			
216	10.9			
217	10.9			
218	10.9			
219	10.9			
220	18.7			
221	18.1			
222	10.7			
223	10.7			
224	10.7			
225	10.7			
226	19			
227	18.4			
228	11.1			
229	11			
230	11			
231	11			
232	18.5			
233	18.1			
234	11.5			
235	11.4			
236	11.4			
237	11.3			
238	18.5			
239	18			
240	11.3			
241	11.2			
242	11.2			
243	11.2			
244	18.1			
245	17.7			
246	10.9			
247	10.9			
248	10.9			
249	10.9			
250	19			
251	18.5			
252	10.9			
253	11			
254	10.9			
255	10.9			
256	18.5			
257	18			
258	11.1			
259	11			
260	11			
261	11			
262	19			
263	18.4			
264	11.1			
265	11.1			
266	11.1			
267	11.1			
268	19.6			
269	14			
270	13.6			
271	13.3			
272	13			
273	12.7			
274	19.4			
275	14.2			
276	13.7			
277	13.4			
278	13.2			
279	12.8			
280	19.6			
281	14.4			
282	13.9			
283	13.5			
284	13.2			
285	12.9			
286	19.8			
287	14.4			
288	13.9			
289	13.6			
290	13.2			
291	12.9			
292	19.2			
293	18.6			
294	11.1			
295	11			
296	11			
297	11			
298	19.8			
299	14.4			
300	13.9			
301	13.6			
302	13.3			
303	19.4			
304	19.8			
305	20.2			
306	20.1			
307	20			
308	19.9			
309	19.8			
310	20			
311	20.5			
312	20.4			
313	20.3			
314	20.2			
315	20.1			
316	20.1			
317	20.6			
