Time	Watts			
				
0	6.6		13.58533333	7.228952381
1	6.2		20.81428571	
2	6.7			
3	12.8			
4	12.6			
5	18.3			
6	18			
7	11.3			
8	11.3			
9	11.3			
10	11.3			
11	18.3			
12	17.9			
13	11.3			
14	11.3			
15	11.3			
16	11.4			
17	19.4			
18	18.9			
19	11.8			
20	11.7			
21	11.6			
22	11.5			
23	19.6			
24	19			
25	11.3			
26	11.3			
27	11.2			
28	11.2			
29	20.2			
30	14.2			
31	13.9			
32	13.7			
33	13.5			
34	13.3			
35	20.8			
36	14			
37	13.7			
38	13.4			
39	13.2			
40	13			
41	21.6			
42	13.8			
43	13.5			
44	13.3			
45	13			
46	12.8			
47	21.6			
48	13			
49	12.8			
50	12.6			
51	12.5			
52	12.3			
53	22			
54	12.6			
55	12.4			
56	12.3			
57	12.2			
58	12.1			
59	22.5			
60	11.8			
61	11.7			
62	11.7			
63	11.7			
64	11.7			
65	22.7			
66	12			
67	11.9			
68	11.9			
69	11.9			
70	11.8			
71	22.9			
72	12			
73	11.8			
74	11.8			
75	11.8			
76	11.7			
77	23.1			
78	11.3			
79	11.3			
80	11.3			
81	11.3			
82	11.4			
83	22.7			
84	11.8			
85	11.7			
86	11.6			
87	11.6			
88	11.7			
89	22.7			
90	11.3			
91	11.3			
92	11.4			
93	11.3			
94	11.5			
95	22			
96	11.5			
97	11.4			
98	11.4			
99	11.4			
100	11.6			
101	21.6			
102	11.1			
103	11.1			
104	11.2			
105	11.3			
106	11.5			
107	21			
108	11.5			
109	11.4			
110	11.4			
111	11.4			
112	11.7			
113	20.8			
114	10.9			
115	10.9			
116	11			
117	11.1			
118	11.4			
119	20.8			
120	11.5			
121	11.5			
122	11.4			
123	11.4			
124	11.8			
125	19.8			
126	11.8			
127	11.7			
128	11.7			
129	11.7			
130	12			
131	20.4			
132	11.5			
133	11.4			
134	11.5			
135	11.4			
136	11.9			
137	19.8			
138	11.1			
139	11.1			
140	11.1			
141	11.2			
142	11.7			
143	18.7			
144	11.3			
145	11.3			
146	11.3			
147	11.3			
148	11.9			
149	18.3			
150	11.3			
151	11.3			
152	11.3			
153	11.4			
154	16.7			
155	16.8			
156	11.3			
157	11.3			
158	11.3			
159	11.3			
160	16.9			
161	17			
162	11.5			
163	11.4			
164	11.5			
165	11.5			
166	17.3			
167	17.2			
168	11.3			
169	11.3			
170	11.3			
171	11.3			
172	17.3			
173	17.2			
174	11.5			
175	11.4			
176	11.4			
177	11.5			
178	17.7			
179	17.5			
180	11.5			
181	11.4			
182	11.4			
183	11.5			
184	18.1			
185	17.8			
186	11.5			
187	11.4			
188	11.4			
189	11.4			
190	18.1			
191	17.7			
192	11.8			
193	11.8			
194	11.7			
195	11.6			
196	18.3			
197	18			
198	11.5			
199	11.5			
200	11.5			
201	11.5			
202	19.2			
203	18.7			
204	11.3			
205	11.2			
206	11.2			
207	11.2			
208	19.6			
209	18.9			
210	11.1			
211	11.1			
212	11.2			
213	11.2			
214	20			
215	14.4			
216	14.3			
217	22.5			
218	21.9			
219	12.4			
220	20.4			
221	14.6			
222	14.3			
223	14			
224	13.7			
225	13.5			
226	20.6			
227	14			
228	13.6			
229	13.3			
230	13.1			
231	12.9			
232	21.8			
233	13.2			
234	13			
235	12.8			
236	12.7			
237	12.5			
238	22.2			
239	12.4			
240	12.2			
241	12.1			
242	12			
243	11.9			
244	22.5			
245	12.2			
246	12			
247	12			
248	11.9			
249	11.8			
250	22.9			
251	11.8			
252	11.7			
253	11.7			
254	11.7			
255	11.7			
256	22.9			
257	12			
258	11.9			
259	11.8			
260	11.8			
261	11.8			
262	22.5			
263	11.8			
264	11.7			
265	11.7			
266	11.7			
267	11.8			
268	22.2			
269	11.3			
270	11.2			
271	11.3			
272	11.3			
273	11.5			
274	21.8			
275	11.3			
276	11.2			
277	11.2			
278	11.2			
279	11.5			
280	21			
281	12.2			
282	12.3			
283	12.2			
284	12.2			
285	12.4			
286	20.4			
287	11.5			
288	11.5			
289	11.5			
290	11.4			
291	11.8			
292	19.8			
293	11.5			
294	11.4			
295	11.5			
296	11.4			
297	11.9			
298	19.8			
299	11.8			
300	11.7			
301	11.7			
302	17.7			
303	23.1			
304	23.5			
305	23.3			
306	23			
307	22.7			
308	22.5			
309	22.3			
310	22.6			
311	22.7			
312	22.4			
313	22.2			
