Time	Watts			
				
0	6.6		15.413	5.820333333
1	6.2		21.23333333	
2	12			
3	22.7			
4	22.5			
5	22.1			
6	22			
7	21.9			
8	21.6			
9	21.4			
10	21.2			
11	20.9			
12	21.1			
13	21			
14	20.7			
15	20.7			
16	20.5			
17	20.2			
18	20.5			
19	20.3			
20	20.1			
21	20.2			
22	19.9			
23	19.7			
24	20.1			
25	19.9			
26	19.7			
27	19.9			
28	19.7			
29	19.6			
30	20			
31	19.7			
32	19.6			
33	19.7			
34	19.5			
35	19.6			
36	19.9			
37	19.7			
38	19.7			
39	19.7			
40	19.5			
41	19.6			
42	19.8			
43	19.6			
44	19.9			
45	19.7			
46	19.5			
47	19.8			
48	19.8			
49	19.7			
50	19.8			
51	19.5			
52	19.3			
53	19.7			
54	19.7			
55	19.6			
56	19.7			
57	19.5			
58	19.3			
59	19.8			
60	11.3			
61	11.7			
62	11.8			
63	11.7			
64	11.6			
65	19.4			
66	11.1			
67	11.7			
68	11.6			
69	11.5			
70	11.7			
71	12.3			
72	12.2			
73	12.6			
74	12.4			
75	12.2			
76	12.7			
77	12.9			
78	13			
79	13.1			
80	12.7			
81	12.5			
82	13.1			
83	13			
84	13.4			
85	13.1			
86	12.8			
87	12.5			
88	19.4			
89	11.1			
90	11.6			
91	11.5			
92	11.4			
93	11.4			
94	18.7			
95	13			
96	13			
97	12.7			
98	12.5			
99	12.6			
100	13.1			
101	13.4			
102	13.2			
103	12.9			
104	12.7			
105	13			
106	13.4			
107	13.7			
108	13.3			
109	13.1			
110	12.8			
111	13.3			
112	13.3			
113	13.5			
114	13.2			
115	12.8			
116	12.5			
117	19			
118	18.4			
119	12.6			
120	12.3			
121	12.1			
122	12			
123	19.4			
124	18.9			
125	11.1			
126	11			
127	10.9			
128	11.2			
129	17.3			
130	17			
131	10.5			
132	10.5			
133	10.6			
134	11.1			
135	17.5			
136	16.9			
137	11.1			
138	11.1			
139	11			
140	17.1			
141	17.2			
142	11.5			
143	11.4			
144	11.3			
145	11.2			
146	18.1			
147	17.8			
148	11.3			
149	11.2			
150	11.1			
151	11.1			
152	20.2			
153	14.4			
154	13.9			
155	13.6			
156	13.2			
157	13.1			
158	21			
159	12.4			
160	12.2			
161	11.9			
162	11.7			
163	12			
164	20.4			
165	10.9			
166	10.8			
167	10.8			
168	10.8			
169	11.4			
170	18.3			
171	11.1			
172	11			
173	11			
174	11			
175	17.5			
176	17.3			
177	10.9			
178	10.9			
179	10.9			
180	10.8			
181	19.6			
182	13.2			
183	12.9			
184	12.6			
185	12.4			
186	12.1			
187	21.4			
188	12.2			
189	12			
190	11.9			
191	11.7			
192	11.6			
193	22.2			
194	10.9			
195	10.9			
196	10.8			
197	10.7			
198	11			
199	20.6			
200	10.7			
201	10.6			
202	10.6			
203	10.7			
204	11.1			
205	18.5			
206	11.1			
207	11.1			
208	11			
209	11			
210	16.1			
211	16.1			
212	10.5			
213	10.6			
214	10.6			
215	10.6			
216	16.9			
217	16.6			
218	11.1			
219	22			
220	22.4			
221	22.8			
222	23.2			
223	23.5			
224	12			
225	12			
226	12.1			
227	12			
228	12.6			
229	24.5			
230	24.1			
231	15.5			
232	14.9			
233	14.5			
234	19.6			
235	19.5			
236	10.3			
237	10.3			
238	10.4			
239	10.5			
240	16.5			
241	16.5			
242	16.3			
243	15.7			
244	15.1			
245	14.6			
246	15.1			
247	15.2			
248	14.6			
249	14.2			
250	13.8			
251	13.4			
252	19.8			
253	19.8			
254	19.7			
255	19.4			
256	11.8			
257	11.7			
258	21			
259	12.4			
260	12.2			
261	12			
262	11.8			
263	11.7			
264	22			
265	11.1			
266	11.1			
267	11			
268	11.1			
269	11.2			
270	21.4			
271	10.5			
272	17.9			
273	18.3			
274	18.7			
275	18.8			
276	19.3			
277	19.2			
278	19.2			
279	19.1			
280	19			
281	19.1			
282	19.5			
283	19.4			
284	19.2			
285	19.1			
286	19.1			
287	19.3			
288	19.7			
289	19.6			
290	19.4			
291	19.3			
292	19.2			
293	19.4			
294	19.8			
295	19.6			
296	19.4			
297	19.3			
298	19.2			
299	19.5			
300	20			
301	19.8			
302	20.2			
303	20.5			
304	20.8			
305	21.2			
306	21.8			
307	21.9			
308	22			
309	22.1			
310	22.2			
311	22.3			
